收费站,时间区间起点,入站车流,出站车流
收费站15,2022-02-26 12:00:00,19,13
收费站15,2022-02-26 13:00:00,21,16
收费站15,2022-02-26 14:00:00,33,11
收费站15,2022-02-26 15:00:00,26,20
收费站15,2022-02-26 16:00:00,30,19
收费站15,2022-02-26 17:00:00,21,32
收费站15,2022-02-26 18:00:00,27,25
收费站15,2022-02-26 19:00:00,23,25
收费站15,2022-02-26 20:00:00,11,10
收费站15,2022-02-26 21:00:00,14,8
收费站15,2022-02-26 22:00:00,8,4
收费站15,2022-02-26 23:00:00,2,2
收费站15,2022-02-27 00:00:00,1,2
收费站15,2022-02-27 01:00:00,0,0
收费站15,2022-02-27 02:00:00,1,0
收费站15,2022-02-27 03:00:00,3,0
收费站15,2022-02-27 04:00:00,2,0
收费站15,2022-02-27 05:00:00,2,0
收费站15,2022-02-27 06:00:00,17,1
收费站15,2022-02-27 07:00:00,25,5
收费站15,2022-02-27 08:00:00,35,7
收费站15,2022-02-27 09:00:00,37,6
收费站15,2022-02-27 10:00:00,60,6
收费站15,2022-02-27 11:00:00,29,8
收费站15,2022-02-27 12:00:00,24,7
收费站15,2022-02-27 13:00:00,34,11
收费站15,2022-02-27 14:00:00,41,13
收费站15,2022-02-27 15:00:00,36,27
收费站15,2022-02-27 16:00:00,35,26
收费站15,2022-02-27 17:00:00,39,35
收费站15,2022-02-27 18:00:00,28,28
收费站15,2022-02-27 19:00:00,24,13
收费站15,2022-02-27 20:00:00,14,9
收费站15,2022-02-27 21:00:00,12,6
收费站15,2022-02-27 22:00:00,6,5
收费站15,2022-02-27 23:00:00,3,3
收费站10,2022-02-22 00:00:00,0,0
收费站10,2022-02-22 01:00:00,1,0
收费站10,2022-02-22 02:00:00,0,0
收费站10,2022-02-22 03:00:00,0,0
收费站10,2022-02-22 04:00:00,0,0
收费站10,2022-02-22 05:00:00,0,0
收费站10,2022-02-22 06:00:00,1,0
收费站10,2022-02-22 07:00:00,1,0
收费站10,2022-02-22 08:00:00,1,1
收费站10,2022-02-22 09:00:00,7,0
收费站10,2022-02-22 10:00:00,5,0
收费站10,2022-02-22 11:00:00,0,0
收费站10,2022-02-22 12:00:00,0,3
收费站10,2022-02-22 13:00:00,1,0
收费站10,2022-02-22 14:00:00,3,2
收费站10,2022-02-22 15:00:00,1,0
收费站10,2022-02-22 16:00:00,2,2
收费站10,2022-02-22 17:00:00,1,0
收费站10,2022-02-22 18:00:00,0,0
收费站10,2022-02-22 19:00:00,2,0
收费站10,2022-02-22 20:00:00,0,0
收费站10,2022-02-22 21:00:00,1,0
收费站10,2022-02-22 22:00:00,0,0
收费站10,2022-02-22 23:00:00,0,0
收费站10,2022-02-23 00:00:00,0,0
收费站10,2022-02-23 01:00:00,0,0
收费站10,2022-02-23 02:00:00,0,0
收费站10,2022-02-23 03:00:00,0,0
收费站10,2022-02-23 04:00:00,0,0
收费站10,2022-02-23 05:00:00,0,0
收费站10,2022-02-23 06:00:00,0,0
收费站10,2022-02-23 07:00:00,1,0
收费站10,2022-02-23 08:00:00,1,0
收费站10,2022-02-23 09:00:00,5,1
收费站10,2022-02-23 10:00:00,2,1
收费站10,2022-02-23 11:00:00,0,0
收费站10,2022-02-23 12:00:00,1,0
收费站10,2022-02-23 13:00:00,2,0
收费站10,2022-02-23 14:00:00,1,0
收费站10,2022-02-23 15:00:00,0,1
收费站10,2022-02-23 16:00:00,1,4
收费站10,2022-02-23 17:00:00,4,0
收费站10,2022-02-23 18:00:00,2,1
收费站10,2022-02-23 19:00:00,2,1
收费站10,2022-02-23 20:00:00,1,0
收费站10,2022-02-23 21:00:00,0,0
收费站10,2022-02-23 22:00:00,0,0
收费站10,2022-02-23 23:00:00,0,1
收费站10,2022-02-24 00:00:00,0,0
收费站10,2022-02-24 01:00:00,0,0
收费站10,2022-02-24 02:00:00,0,0
收费站10,2022-02-24 03:00:00,0,0
收费站10,2022-02-24 04:00:00,0,0
收费站10,2022-02-24 05:00:00,0,0
收费站10,2022-02-24 06:00:00,0,0
收费站10,2022-02-24 07:00:00,0,0
